Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
2876,39,3113,295,11400,44
13570,41,8449,214,13513,323
15790,39,7584,270,12423,171
11313,33,5661,74,9836,144
24928,43,9827,360,6381,370
25335,47,9586,203,8165,138
13328,32,1890,185,8646,303
27895,31,2373,139,9645,322
8742,42,9929,121,8144,182
18639,46,4272,346,5114,384
11088,18,1790,439,10382,13
21165,44,3312,66,14033,102
11159,13,8731,292,7646,194
15187,26,4513,68,10845,329
3425,37,6566,411,7508,249
26293,31,8940,462,8469,235
17047,49,1278,89,14180,337
14155,12,4314,285,13657,195
6014,38,4867,89,10770,372
5470,16,4690,312,13338,329
18418,34,2595,201,6595,212
28781,44,4247,441,7530,291
29857,13,1144,279,7200,98
12572,12,1193,68,12005,284
17097,29,7069,63,6264,162
3018,38,7476,117,5103,240
4779,27,5937,476,14442,267
14498,19,6185,475,6490,299
25508,38,6985,68,13224,46
29374,12,1008,244,11304,420
28214,14,5738,314,4385,9
20909,13,9730,402,12539,71
7241,11,2698,394,9020,41
26787,34,6550,364,12627,78
22360,37,6357,256,11842,386
20816,34,1533,108,10892,230
3416,37,7273,98,9445,145
19225,36,6971,227,11004,233
2915,18,7201,443,5639,395
16588,37,4965,258,12797,309
4278,29,7538,419,7551,47
11081,19,7349,376,7266,365
4033,13,3355,229,14838,126
10417,37,5094,108,10028,66
13653,44,5783,264,4597,331
28470,33,2040,127,8089,298
17018,21,2111,120,4259,191
3213,16,3805,307,9242,122
14919,11,5753,382,10385,342
6171,10,5386,104,14879,119
8365,42,4773,348,7086,279
25965,41,5114,102,4201,153
28256,42,9921,306,4005,279
15164,45,7683,434,10843,480
19407,29,7310,232,8060,86
21408,30,9671,463,5734,203
14225,22,2396,401,8159,92
9099,32,5525,473,11948,348
28399,42,4573,75,8160,413
14386,37,8651,437,5121,314
27543,16,4994,227,7676,243
23981,18,8054,90,7489,301
2190,31,1097,85,10385,430
20382,25,3747,416,8020,474
19714,49,8983,223,6494,116
15663,22,5156,100,7253,65
28298,32,1692,449,9767,325
23085,40,2622,335,7638,421
26215,30,1012,302,9534,183
16202,38,5589,388,7189,241
17164,12,7139,392,14216,281
24075,12,5159,182,7605,101
23470,21,7086,312,10218,374
15146,33,8620,56,14222,470
28106,20,4598,215,6815,414
15777,21,7098,125,14785,33
18519,43,9676,79,4071,314
15776,39,7283,368,7552,472
5670,21,9317,364,9297,329
12455,47,5330,215,5844,36
28778,49,1939,191,14894,128
7263,19,5183,234,14004,270
24986,34,6973,184,8016,40
26013,44,1073,265,11083,338
13569,32,3250,423,14471,300
5169,46,6459,68,14542,78
24082,13,2506,183,9931,494
11629,11,4693,354,12271,267
4362,48,1704,90,9187,368
9072,38,9276,230,12288,340
5467,48,6490,391,12562,488
18431,15,6573,332,8427,334
13211,46,3997,382,4203,111
14664,11,3678,151,10829,363
3566,45,9890,274,9093,87
8857,39,6092,383,4243,63
15888,28,1628,379,8019,155
7041,49,2775,483,8612,458
14550,40,8265,224,8779,76
8456,32,3624,240,14435,364
25079,18,9959,101,6808,203
9018,44,3785,115,6271,486
16644,20,7976,346,10849,423
3536,17,6101,188,14096,161
19287,41,1499,363,10467,334
20609,22,6207,297,7633,305
22794,10,8148,171,5603,135
21060,13,7563,453,14224,370
3634,35,9764,114,5140,405
29606,38,8027,394,6676,128
24385,24,9042,97,7244,382
9795,34,3974,465,12086,50
4493,25,5266,458,11849,169
17206,22,7763,148,12363,280
6478,29,3901,62,13317,99
15349,46,4308,397,6164,6
21997,49,7355,432,13741,76
15615,46,9900,432,7683,252
2206,20,5248,217,13696,119
11681,43,2698,233,6668,401
3812,14,9560,418,12258,418
9526,33,8729,338,13795,240
5016,21,7080,420,12649,99
27177,15,7426,342,4547,286
23050,28,1104,474,4797,174
25712,23,6274,460,11645,280
27936,20,9740,171,9980,159
5627,19,1956,217,4165,222
2192,24,8440,429,9703,289
3186,33,6383,140,4583,450
20150,41,7893,84,9142,267
24686,17,8209,384,10479,381
23223,42,9814,66,8222,117
16529,38,9104,357,12772,359
28849,28,8726,424,7498,277
18334,18,7467,453,9183,90
3583,11,4080,389,9021,429
25036,36,7112,275,12374,149
2952,15,8283,219,9109,85
4808,49,2836,198,6805,286
16367,40,6127,316,6610,380
19251,36,3163,101,6940,84
4074,29,3860,356,9783,437
19993,11,3059,346,11067,120
27343,43,4637,347,12869,182
17070,12,5383,489,5056,488
6741,17,1516,312,7117,127
22873,45,4039,478,7483,174
6302,12,4942,221,9728,37
19311,38,5309,237,12466,85
10666,22,9022,327,13676,134
5236,36,3692,177,13911,157
13013,20,4501,309,14088,27
8512,35,9166,274,11450,123
5965,14,7565,466,12355,244
14882,46,1993,112,13954,33
18171,46,7932,464,7549,170
29976,43,8010,388,8328,166
27214,38,8867,448,13476,82
16198,15,4791,148,14519,327
3253,39,1509,466,8042,377
10300,21,8097,479,14339,423
14129,46,9871,182,11659,419
3575,43,9357,74,9320,131
22412,26,5663,51,5717,364
12707,11,4216,149,10885,78
22081,45,4114,445,8717,481
17474,34,2628,460,11570,288
22741,45,5862,463,10595,194
7960,29,1221,273,14983,481
27793,40,7992,243,6432,8
25836,21,9841,351,13272,46
22029,21,2591,246,10962,387
8898,21,2101,144,6092,390
20380,37,6049,259,7848,190
20453,40,7305,445,6076,80
22841,28,2633,193,11077,486
21630,12,2481,346,8471,409
16161,39,6998,82,4703,19
19355,16,6648,137,9928,389
25611,13,8601,389,12924,79
2791,35,2465,203,9995,265
16109,47,7452,228,14494,448
10028,22,1288,105,5892,289
9717,34,7310,287,4930,386
29787,40,7907,182,8123,479
2316,34,5053,479,6323,124
2318,11,2219,152,7009,264
12399,27,1266,391,8585,466
26281,17,2164,315,13858,408
22693,49,9295,471,14452,375
25735,15,8749,237,13393,241
8178,14,6983,309,13062,65
26366,14,9465,356,13944,428
11767,33,3236,113,4631,364
14283,43,7737,85,9801,434
29705,24,8530,284,5578,469
11191,45,6717,229,13777,22
28579,18,9082,341,10344,168
11905,12,3482,259,13942,473
6704,32,2239,97,11467,370
6983,15,6909,123,12884,138
4558,21,5307,431,11461,452
3586,40,8032,266,10346,339
4024,13,1969,379,13341,462
9967,19,3065,237,6789,116
4364,37,6536,349,13927,292
24429,19,5565,227,8516,344
29675,38,1392,286,10941,480
16262,20,4636,99,8362,18
14028,24,2466,142,11905,325
9770,47,5973,231,12378,466
15961,41,6595,483,7068,23
20307,27,9222,184,12854,439
14360,31,1121,234,9874,301
17239,42,1507,465,7634,486
27770,10,7107,155,5988,131
11395,47,3229,336,14455,188
22235,26,3799,288,6104,282
13142,35,8511,341,12143,197
16256,28,4202,148,8874,20
4505,15,1630,388,13124,387
29064,35,3398,63,12358,148
2132,18,7829,153,13724,114
24462,13,9806,156,13200,343
25603,28,7728,90,11979,445
18955,38,9333,415,8119,140
28317,43,7354,159,11077,136
17462,47,2110,203,10208,285
15107,22,9334,116,10614,177
10898,21,5721,75,11841,393
17179,18,6035,195,4852,430
19489,47,6207,114,7069,304
17447,39,9054,121,13009,474
19670,23,7364,108,4224,55
14637,48,6384,409,14578,89
8705,19,4265,280,9805,415
25454,38,4944,341,9776,488
21177,32,4943,287,14154,299
28295,19,9499,176,6934,259
16374,30,3991,399,13633,226
16299,37,9914,407,5277,347
28716,29,4194,294,10661,316
21698,20,9983,176,4820,472
5654,47,3541,463,5446,393
13437,12,6872,155,14528,18
19181,27,2171,477,14242,117
29858,38,8747,280,8551,319
2314,44,5207,359,7226,306
18361,14,8375,467,4825,117
3711,46,8706,304,8566,224
24196,16,8028,181,6006,280
7364,37,9389,254,11963,270
4480,24,6860,223,6130,123
25026,45,2538,367,13708,395
20997,33,7828,167,7184,492
20021,30,1762,204,4388,324
15072,41,7284,74,4747,402
12785,47,7952,80,4253,117
10178,28,4335,260,11707,59
6619,17,8726,341,8887,28
24960,25,5113,91,7787,340
8966,33,8396,144,14023,428
8871,46,4146,144,6052,281
15175,18,2724,493,7246,392
14129,18,4706,232,5032,154
18969,26,1526,289,13471,33
5066,22,7935,183,14996,17
21017,46,2043,423,9182,42
26747,16,9075,235,12286,6
7652,39,4719,96,9994,429
19070,12,9938,110,13803,96
25683,28,8133,471,8286,403
11169,45,5159,208,9164,463
14945,19,6930,445,5603,215
5109,10,9409,419,14421,172
3590,42,3877,227,12510,232
24093,12,4307,288,14144,29
9382,10,7035,407,11477,202
5835,38,5257,378,5803,21
29635,12,4160,82,12500,433
15823,12,3983,389,13640,144
2192,31,9275,182,5012,366
11594,30,2362,198,4817,140
27290,48,8234,373,11671,315
2298,12,8490,159,12519,51
16389,15,3556,110,6850,187
5093,17,2367,173,5092,392
12519,22,2418,398,11988,207
8422,26,7127,237,14183,322
5127,16,2914,290,14772,402
9508,30,5699,402,8423,122
15799,14,7013,237,10536,464
24144,39,4592,358,7373,466
5659,34,3093,168,8251,346
19619,17,4426,235,14930,353
3107,23,9245,167,7119,442
13922,18,5130,465,10133,294
23088,34,1395,85,14051,299
25421,45,8524,254,7168,410
27285,25,6089,252,4704,99
19685,12,9657,137,12903,95
15296,23,1322,298,11288,97
22542,36,3143,202,6590,445
24601,16,6725,419,9871,409
9316,29,9183,433,12643,190
20132,16,9193,56,6178,190
27835,39,7179,212,7064,230
21192,36,7414,191,9824,448
15275,39,4371,366,8979,314
9843,32,1519,231,5534,94
16481,38,1434,395,6764,421
12941,42,3887,260,14459,107
27604,14,7693,156,9150,393
16999,38,6360,129,8154,428
18116,23,9109,96,10255,352
6953,25,8046,433,14021,196
9317,34,2649,445,13168,115
20949,12,7676,83,11484,397
23193,10,5010,188,8528,121
15725,39,5723,449,11993,148
29689,41,4288,156,8760,238
12086,28,1852,426,8855,200
22260,14,2360,160,5104,212
6734,34,8684,446,5998,228
6938,28,4921,458,12941,423
11891,24,7581,418,5458,182
13981,32,7158,285,6122,106
16250,14,3296,213,12522,409
23921,29,5106,407,7645,384
14396,30,6901,356,9685,300
10643,37,2813,167,8447,112
22797,18,2993,244,13780,262
13549,21,1898,398,14476,432
25337,27,9631,300,8542,305
3947,15,6287,295,4151,116
29044,45,6343,464,13618,226
20139,10,1164,400,4800,296
14162,17,8888,221,12580,339
23277,24,8606,52,7377,441
15099,14,4653,187,5651,369
26436,15,5365,310,7996,197
6972,22,1829,191,14918,263
20672,13,8824,71,12064,58
4151,47,3346,174,13330,455
24131,39,7507,96,6019,454
12924,24,7855,372,13407,429
19824,23,6184,445,8811,125
27194,19,8726,88,4876,209
7862,26,1970,98,9612,410
13676,21,5455,314,10092,89
20043,24,3338,105,4052,400
9956,32,7486,318,5912,287
27288,13,2889,330,12100,484
25330,33,8950,209,7952,151
9784,32,8993,240,6812,424
15477,43,5847,465,5664,323
4211,15,3095,72,11458,14
4739,22,5840,313,8216,479
23470,30,5806,228,7949,493
7484,29,1253,100,6677,78
28187,23,9381,133,4371,374
5415,27,9245,375,11649,130
6551,31,3488,246,8206,163
13874,24,4528,420,9736,441
12314,36,3570,487,4674,114
11942,44,3574,157,7115,38
24449,44,1979,134,5563,88
10399,31,7737,405,14874,96
6816,23,7885,226,12600,21
4178,22,5223,213,11709,445
11582,43,1299,104,13246,200
6096,12,9670,290,6425,38
5635,25,5355,290,13302,197
27879,13,7958,316,9131,261
28041,40,9989,94,8521,87
11811,26,3871,453,4400,453
22962,30,1686,268,9251,32
11240,16,9486,478,6732,409
16802,49,9705,80,12697,231
18659,34,1872,424,5502,137
21200,15,8496,278,10987,205
8247,24,5689,281,4020,19
23572,37,6846,457,12596,438
5854,49,8116,295,9910,203
22744,46,9021,474,4205,448
16397,47,8275,449,7440,333
17275,39,7903,414,14199,212
2502,18,7540,410,11560,248
6954,43,1567,394,4885,267
9537,47,3284,173,12809,376
18290,39,3355,453,5373,250
13159,48,6615,252,12144,124
24761,22,3761,184,6943,386
6632,13,2223,373,7143,137
20198,42,8185,333,14226,221
13010,17,1371,275,8703,419
10518,48,6212,191,5972,262
13576,45,4986,285,11531,191
2058,39,5068,309,6169,345
9974,19,7161,132,10266,98
22063,43,3718,417,4035,9
24408,46,9567,358,9695,27
13842,35,3664,117,11608,331
2730,38,2389,250,5255,211
21029,18,7096,284,8723,489
5018,25,7106,229,5050,171
21629,34,4526,464,5683,200
28242,40,1820,170,12335,176
17381,32,9950,350,13001,91
6742,18,4177,106,11141,43
13827,32,2250,373,7618,56
8145,36,5130,250,5790,428
22043,34,1757,259,10065,462
4329,28,1756,105,7395,248
17277,13,9767,76,7602,242
25997,16,7049,61,10166,310
16473,23,5002,280,5930,328
7214,48,1914,130,10905,262
3863,40,4987,259,13317,414
29321,20,5860,65,4126,74
23644,35,4005,164,6523,182
2055,18,7990,278,13039,233
9738,13,8212,255,4814,79
18908,45,2529,308,4785,260
25070,34,5959,182,9306,393
12319,14,9602,121,13886,454
12947,49,7654,406,11900,358
20947,46,9233,377,13974,152
24363,36,9408,126,5586,25
18295,29,1760,62,9923,458
29152,45,1516,421,10222,270
20417,47,7657,67,9600,235
15232,14,6139,253,14150,163
24253,26,6324,392,6102,63
22645,40,7205,378,6633,26
2290,40,2201,459,10363,306
16746,17,1069,182,4722,264
4299,47,1469,222,6193,70
10261,46,4165,67,12222,105
23592,18,5396,261,4058,91
28953,31,5794,65,14675,226
23285,24,9645,332,11503,208
21452,22,9691,105,8856,319
24434,45,7861,340,13630,119
19282,46,9091,271,5329,122
17778,22,1419,380,12906,210
10656,15,3462,310,5998,156
25483,19,5703,287,11446,393
14638,46,1273,210,10859,455
10473,47,2264,373,6855,292
17808,49,7883,212,7561,127
24329,17,7662,240,6051,187
7804,29,3929,380,4072,32
26351,48,1372,88,9965,401
12460,26,2829,417,12448,489
12714,21,1483,395,5679,311
25534,42,9003,359,7770,240
25475,17,3432,425,12744,316
18826,21,7774,386,7793,256
22571,36,6816,182,11493,395
17899,12,7715,205,8054,385
26159,32,3467,54,14448,260
10872,27,4724,224,13517,149
26142,40,9468,447,12070,186
20791,48,3856,371,4998,397
13474,31,5118,410,13882,265
24835,32,4623,299,8279,377
19980,36,8392,475,10252,352
15785,25,7544,390,8436,449
25628,12,3329,211,12288,498
16342,40,5859,161,7217,220
7656,41,7348,266,8955,61
17446,10,2411,89,10257,374
21155,27,4488,254,11631,91
24836,37,1629,296,7713,82
23276,36,7010,259,9483,108
4498,13,7118,125,7156,75
21601,25,9738,262,10753,217
10318,25,3573,448,8631,438
21475,42,9574,374,9855,194
27410,44,2113,226,4648,347
17060,11,5462,238,14807,10
26613,24,2913,224,11944,176
24430,22,3764,308,11653,119
20610,34,2355,343,10597,276
28720,12,5651,432,6910,349
2295,37,7490,334,13064,253
19059,49,1111,327,4557,49
3936,29,1199,90,6490,187
28123,19,2129,283,14911,107
5806,28,3925,65,8844,90
5956,29,2325,82,8756,142
10428,15,8172,445,11711,449
7391,10,2408,333,11719,427
3086,17,4186,308,6085,204
24374,28,9863,132,7857,306
22629,29,2089,201,13343,308
17219,34,4228,110,8751,319
20073,19,8047,176,5040,50
5320,30,3934,358,5606,229
6600,21,8240,132,12278,13
7283,44,1426,88,10030,468
17457,39,8622,77,4267,268
17199,21,5676,346,8190,209
21093,10,9575,192,4584,241
24031,32,2984,115,4124,389
9483,30,8477,182,10470,193
22572,21,2421,474,13588,187
23762,21,9929,349,7395,81
28329,40,3420,138,4967,454
8076,38,5507,494,8945,386
7144,14,3681,456,6170,395
29929,37,2539,479,9429,465
9987,40,2432,446,12636,349
17807,39,1010,348,4323,362
13959,39,4616,317,10354,352
12652,16,3146,178,9182,335
16888,46,9096,145,10390,80
9996,43,4227,473,13908,230
8239,23,5132,467,10188,394
24171,23,9471,386,10551,199
5884,30,8962,498,11887,484
8282,48,5894,178,14037,427
2494,40,8109,289,14810,168
16689,26,6680,460,4562,453
17012,28,4346,458,9389,339
21324,30,7109,65,5972,387
21832,16,3636,339,10079,257
13064,47,9063,202,4700,142
19090,15,4320,65,12633,302
4375,10,4494,363,14914,102
4744,27,1530,237,14475,176
11732,48,5683,362,4663,208
7245,34,3149,115,4322,243
2148,21,8467,336,10522,379
25208,13,7378,476,12878,401
20549,49,2189,284,8600,117
27370,20,6073,84,12345,57
12311,10,8076,403,14545,240
11630,38,9385,270,11278,454
17675,43,9081,362,4348,403
11771,15,5714,454,7658,266
10939,25,1712,204,8369,452
28959,13,5315,293,5792,389
29500,39,7297,124,13695,395
24331,41,8064,466,10151,87
18897,45,6859,93,5331,396
13950,29,9952,154,12700,179
14463,49,4901,430,5305,279
18070,39,3795,358,4374,269
11110,39,6937,262,13244,111
19815,29,9337,380,7442,325
16019,31,2734,158,6403,49
3182,17,4650,325,7656,204
2477,43,5580,315,9516,23
15930,39,2403,331,5678,216
8334,29,9909,84,4490,23
6954,38,1789,305,7438,72
17132,24,9344,291,9329,75
6912,39,7423,404,12936,85
15376,16,6702,367,14271,379
9239,14,5695,479,12226,434
22077,19,4670,293,6866,311
29760,12,9012,112,6802,120
27439,46,3855,190,13795,177
2472,43,7488,169,14762,377
10154,40,7378,200,10909,452
15162,33,6056,54,4247,201
29350,37,2511,374,5200,29
6204,44,5724,117,14818,336
8513,43,2110,96,12023,437
6644,41,1110,215,5332,396
5384,21,9278,263,9577,194
19820,14,8041,375,11617,445
15911,47,5357,452,13452,34
24625,44,3896,435,11367,446
7638,31,3435,176,11516,253
28971,29,5555,170,11739,291
3852,35,4347,60,13527,362
11004,42,1226,52,8057,179
18149,34,4582,155,10371,17
11127,20,8153,162,11681,238
12748,40,1671,384,9213,24
8083,36,5217,332,8322,485
3476,31,4829,153,5255,20
28895,32,7691,441,6377,292
23631,33,9762,198,5351,274
24446,33,9578,241,7232,163
14023,15,5620,182,12712,117
4076,37,3470,477,11821,59
15549,28,2424,108,5199,65
27207,23,5817,81,10078,365
13170,48,6454,111,6217,177
15116,43,5686,464,5285,259
21377,30,8556,497,9388,145
13781,39,8281,213,5474,357
11154,42,2773,451,11179,433
25116,11,7492,332,14975,132
20533,13,3898,204,6950,465
10639,17,3023,227,5042,336
2906,34,8728,50,13345,85
12605,47,7423,254,7301,455
16324,32,6145,105,4794,138
20599,34,1464,168,4903,195
7375,31,7271,342,8439,202
25118,37,1558,146,6994,415
22459,34,5248,150,9977,161
8906,35,7520,447,13580,57
7985,11,8171,249,6401,250
6096,44,1465,305,5173,127
13252,41,6765,389,14223,434
5756,46,6658,270,9976,34
10604,46,9701,148,9882,80
7994,20,3526,356,8456,457
20656,32,9321,265,5512,374
20085,23,1982,76,5805,266
13812,18,7061,149,7820,187
11094,18,2330,268,6444,199
23975,14,5005,447,7801,84
2479,26,8142,482,7591,131
15935,23,4846,251,4381,210
13191,17,3123,345,8130,133
10211,16,4512,339,5235,382
9220,45,7206,457,13116,169
27251,20,5982,267,8711,338
22547,43,2353,395,4390,132
21019,46,7754,107,7327,456
2541,29,9989,220,14005,257
10450,27,5122,179,8201,469
19757,44,8278,82,9751,334
13072,33,1627,499,8493,466
2476,14,7399,245,4641,197
8204,42,3297,383,7814,230
14138,40,8905,203,13866,382
11380,14,6050,184,8458,85
27470,27,7606,385,5487,480
14457,47,2747,181,12929,118
15470,26,8432,141,12656,219
18288,41,5842,166,7390,174
13410,31,1829,101,12886,207
28891,33,9480,383,8313,87
15757,49,5666,381,9070,101
9049,39,1976,342,12210,282
15052,29,4553,405,13903,446
27229,17,8798,269,5173,115
2859,46,1858,392,6084,338
11191,13,4302,456,8702,217
7511,22,7390,285,14127,174
25756,32,2587,458,6335,465
4268,15,3712,268,9518,97
25448,47,2696,340,10340,418
20599,11,6542,388,8708,150
19068,17,2991,229,8561,39
21835,46,6803,189,8747,490
29220,48,3031,79,9470,283
11090,10,3427,310,10733,330
26922,14,7945,201,6749,186
20889,32,6676,364,11521,91
11136,33,2791,87,5115,173
8418,20,9506,489,14000,229
23734,34,5789,68,13243,328
25582,43,9596,137,12273,435
4853,10,3736,433,13054,297
11498,46,7350,125,9790,89
15481,27,6205,363,10285,110
26389,40,6610,53,7751,326
3588,38,3630,406,12751,177
22636,13,5767,120,13471,252
25175,13,6457,370,10319,463
21769,48,9068,102,8272,285
28732,28,9508,111,14575,117
10446,49,1613,251,7000,287
16080,10,4308,121,5451,335
2548,23,8612,282,10309,292
23845,20,5131,139,12863,399
23142,35,4132,477,8703,245
12211,42,7612,485,5616,467
4030,39,5716,56,12063,439
11813,10,8844,388,13431,22
7088,39,7082,463,11364,213
17625,13,6056,437,8882,190
18957,42,1756,260,10294,395
28726,11,8451,208,7462,71
25413,33,3395,280,14824,332
21869,15,9733,179,5057,431
25622,11,3550,369,11178,23
21113,25,9821,437,5333,309
21572,13,8458,453,6282,375
9562,14,9485,190,13609,125
8497,23,2609,226,10867,396
7950,45,6938,219,7490,68
8508,44,7245,466,5062,232
8891,46,8009,92,8613,375
27504,24,3373,184,12987,88
11756,26,1656,418,5260,226
16179,22,6651,63,13963,52
15973,31,2995,358,11432,226
6323,25,8272,311,7092,456
17251,31,6575,226,5664,430
14543,29,2303,318,8247,206
17774,14,1019,176,6640,285
6647,16,4550,124,10336,284
23011,10,7711,178,9531,187
22312,29,1748,477,13154,95
16080,43,7984,385,6385,189
21970,45,5534,499,5403,405
16449,44,3839,377,11828,480
16691,28,5032,478,13708,34
3036,18,2512,65,5766,289
26389,23,2446,183,10814,332
11459,31,8965,261,9986,55
11317,45,2361,395,14149,436
13687,23,3245,144,7898,87
14619,36,2168,287,8836,9
8100,46,3841,489,11602,235
21592,19,1895,108,11837,111
20061,21,5175,397,7885,290
22404,35,9043,117,5938,269
16932,42,2200,326,12194,300
4296,47,2167,417,9896,127
15287,41,7127,181,10472,355
7030,29,6015,488,5991,274
27174,33,9083,85,13907,378
23653,10,4500,262,9129,477
18168,19,1699,296,14334,245
9535,31,5980,490,9936,108
20436,12,8764,139,11268,75
5739,11,2917,352,4194,306
20684,18,3805,128,6439,343
22703,46,1819,55,5710,9
11137,47,7560,296,5064,476
21602,44,4190,355,6553,270
18722,45,7330,350,10177,398
6657,33,7125,342,7032,400
12540,47,7075,302,4255,414
8536,22,8876,170,14803,464
9786,22,7376,130,10074,341
8374,12,5676,293,7458,136
24021,42,6004,170,10689,222
14414,34,3710,327,8572,115
21710,45,4810,191,4202,214
24844,35,1378,356,14701,79
11502,44,4124,86,6338,163
6157,49,1834,273,5323,290
8788,34,8129,446,14663,401
3072,43,4110,358,10542,186
21505,17,9878,396,11461,415
21509,37,9916,123,8717,163
25097,32,1441,489,11494,316
15765,34,4292,102,14130,396
29986,11,7203,495,10719,114
25012,46,5155,473,11377,287
19284,14,6964,243,13202,298
24748,29,6825,418,4413,445
17531,43,9980,324,9996,353
10814,35,9248,459,10458,412
2139,32,6995,270,12401,436
15338,44,1051,269,7376,74
10795,10,9094,272,10160,328
16665,43,6224,112,14522,113
6571,24,2199,357,8664,195
3136,44,5815,223,5089,148
10397,31,9070,358,14337,125
4279,43,3594,283,12153,111
5399,35,4674,395,7564,377
19623,23,2941,94,12724,28
29619,49,8055,257,10257,135
15017,45,3768,385,11315,218
4742,11,1195,417,7811,258
18900,12,5972,385,10094,239
23299,40,8878,327,8552,484
27832,21,2423,158,5406,22
14961,32,7372,91,10191,327
7067,36,9365,376,12602,334
12878,31,1505,252,7686,127
12290,49,1927,439,8740,380
22903,10,3507,398,14494,30
24330,45,2301,147,10224,51
15432,42,4032,213,13852,13
14861,22,6556,65,7096,385
14170,33,4672,332,8461,493
6889,32,2671,215,14074,216
3525,49,7693,75,14834,382
15503,41,9504,327,8582,336
20076,24,5659,195,9110,306
2636,33,7616,356,14614,156
19680,41,4425,400,8930,71
26123,16,8291,394,11335,159
14900,13,5979,256,12449,47
6115,43,8673,178,10964,371
23769,33,3569,311,14412,9
12855,43,3421,56,10463,175
23139,35,6940,461,7428,432
26097,39,2179,301,4391,50
9291,11,2558,419,14500,69
5192,21,8599,179,6711,89
20027,12,6534,105,8416,453
25864,24,9380,327,12273,128
9706,16,1755,477,13397,297
27917,46,9677,394,7328,194
22556,24,4858,494,4447,205
29108,14,7871,436,12072,44
14159,44,5513,475,11834,363
20724,32,6021,357,13886,280
3711,36,8898,186,8860,84
2735,49,9477,352,10224,379
26057,26,7735,443,6597,203
3806,26,3199,494,4486,433
27992,30,9311,481,10691,63
13849,31,7193,411,4315,334
17104,42,1257,478,13785,96
26364,20,6473,495,8097,335
5535,19,9686,305,7069,260
19006,15,7724,363,6294,349
4920,15,6422,265,14346,380
8602,17,6849,220,11890,138
17056,20,8747,176,13410,444
23727,27,2704,324,5115,76
3407,44,5329,81,10098,264
20826,22,6581,415,7585,359
14439,16,6148,218,4762,132
23646,15,3715,465,8163,127
14502,41,8445,55,11216,402
11424,45,7054,263,11026,401
3848,29,7943,370,10302,191
13270,24,9852,278,8075,320
21771,26,3199,109,12732,125
5594,24,8796,374,5604,212
23447,13,7090,392,10837,420
14405,36,4084,118,9552,166
28929,36,3578,83,12067,60
26316,48,5581,469,8203,288
5791,17,7163,411,7373,480
20096,26,4547,225,6917,233
10528,22,6569,255,10088,283
20535,47,5482,311,5138,138
16323,39,9546,263,13534,414
23563,41,2465,497,14240,109
18090,39,4948,149,8500,304
14051,12,4611,444,10723,427
13375,25,6906,468,12037,246
9451,24,8056,285,5289,221
28533,35,6325,426,14105,167
10918,42,8865,424,12520,248
15097,17,1292,117,12959,423
12150,39,9412,75,12248,217
15790,41,2071,206,6980,223
18392,34,4233,337,4339,206
6035,24,5133,259,9677,278
11333,16,9765,456,11628,310
29270,47,1719,277,14105,203
10119,12,8699,73,8708,301
18864,15,8312,213,13240,265
26126,39,8151,291,8397,479
2080,31,2084,61,6550,296
12238,48,1122,308,12156,254
28840,26,3854,357,11313,415
20373,21,3937,99,12578,302
9223,31,8309,233,10308,5
9836,38,5156,211,12607,237
4178,40,6557,350,10538,163
27672,31,4243,110,12956,203
11756,21,2377,192,9544,430
9702,26,7642,54,11758,263
2051,45,7509,355,5327,131
19357,13,4107,321,8938,461
27637,43,1077,359,6351,343
17668,10,6521,427,12641,123
29903,38,6443,260,10892,8
28606,44,7276,259,10705,85
7203,21,7429,141,14698,294
12709,30,4094,152,4878,354
3764,24,5324,493,6189,37
9685,32,8338,262,14696,29
19852,49,2441,265,4668,171
3618,47,7231,68,10342,417
10569,30,6137,134,11716,414
20234,31,4032,442,13640,92
16832,18,3602,455,7809,302
7092,11,6647,163,6568,308
6217,23,1511,409,12214,432
29362,21,5016,205,9807,334
18334,22,2156,149,11329,264
22294,49,3243,390,11506,45
19044,36,1143,52,6619,100
24692,38,7045,473,14713,482
25118,31,5114,482,9953,123
27286,23,2628,223,6478,93
3846,18,8251,110,10639,333
3139,49,5918,302,14147,168
6130,21,9941,153,14612,389
28615,21,5686,118,5843,285
10982,10,6605,435,10554,255
12005,30,4831,160,14260,138
20508,27,2313,193,14401,15
2384,27,5188,181,11133,150
20076,39,3426,290,11150,249
4851,24,7681,310,11674,176
11558,27,7971,121,12598,294
3734,45,9130,490,14852,313
29174,28,1468,494,7512,496
29079,38,6335,465,11578,95
2289,40,4949,479,11247,28
13325,18,2441,391,9409,302
4131,48,2829,476,6317,123
27558,20,3019,280,11514,363
17385,31,8688,174,13054,67
13847,17,2364,130,7415,411
17371,42,8169,355,9084,194
21585,41,6694,316,7953,161
7103,41,8712,414,5146,303
26133,19,2442,317,8935,20
11647,19,3288,354,6260,197
25435,14,2003,70,5864,394
17753,27,7164,409,13123,439
21004,44,3268,252,14742,457
27666,25,6442,175,12406,117
10299,37,4617,174,12866,213
13399,34,8713,427,12753,272
22069,12,8365,248,9794,53
27475,41,5779,54,14073,310
7832,46,7375,54,6423,132
21152,40,3597,412,11609,416
10309,45,1717,69,4306,450
27043,41,8038,369,14273,337
29655,21,2605,149,10131,260
19069,10,8263,214,11744,307
15851,15,5413,348,4221,87
27736,13,4935,219,12016,289
